abandon   v.放弃
annoy    vt. （使）烦恼 
annual  a.一年一次的，年刊
another   a. 再一；另一；别的； 
answer   n. 回答，答复；
ant    n. 蚂蚁 
anxious   a. 忧虑的，焦急的 
any   pron. （无论）哪一个；任何的
anybody  pron. 任何人，无论谁 
anyhow    ad. 不管怎样 
anyone   pron. 任何人，无论谁 
anything   pron. 什么事（物）；任何事（物） 
anyway   ad. 不管怎样 
apart    adv. 分离，分开的
anywhere  ad. 任何地方 
apartment   n. （美）楼中单元房，一套房间
apologize   vi. 道歉，谢罪 
apology    n. 道歉；歉意 
apparent a.显然的
appeal  v. 呼吁，吸引
appear   vi. 出现 
appearance   n. 出现，露面；容貌 
appetite  n.胃口，欲望
applaud  v.喝彩，称赞
apple  n. 苹果 
applicant  n.申请者
application   n. 申请 
apply    v. 申请 
appoint  v .约定，任命
appointment   n. 约会 
appreciate   v. 欣赏； 感激 
appreciation  n.欣赏，感激
approach   v.接近，靠近，n. 方法
appropriate   a. 适当的
approval   n.赞成
approve   v.赞成，满意
approximately  adv.大约
April    n. 4月 
area    n. 面积；地域，地方，
argue   vi. 争辩， 争论 
argument   n. 争论，辩论 
arise  vi. 起来，升起；出现 
arithmetic  n. 算术 
arm    n. 臂, 支架 v. 以……装备，武装起来    
army   n. 军队 
around   ad. 在周围；在附近
arrange   v. 安排，布置
arrangement   n. 安排，布置 
arrest  v.逮捕，拘留
arrival   n. 到来，到达 
arrive   vi. 到达；达到 
arrow   n. 箭；箭头 
art    n. 艺术，美术；技艺 
article   n. 文章；东西，物品；冠词
artificial  a.人造的，假的
artist   n.艺术家
asad.& conj. 像……一样；如同；因为 
ash   n. 灰； 灰末 
ashamed a. 惭愧； 害臊
Asia  n. 亚洲 
Asian   a. 亚洲的，亚洲人的n. 亚洲人 
aside   ad. 在旁边 
ask   v. 问，询问；请求，要求；邀请 
asleep   a. 睡着的，熟睡 
aspect   n.方面
assess   v.估定，评定
assist  v.援助，帮助
assistance  n.援助，帮助
associate  v.使。。联系
association  n.协会，社团
assumption  n.假定，设想
assistant   n. 助手，助理 
astonish   vt. 使惊讶 
astronaut   n. 宇航员 
astronomy   n. 天文学 
at prep. 在（几点钟）；在（某处） 
athlete   n. 运动员 
Atlantic   a. 大西洋的 
atmosphere   n. 大气；气氛 
atom   n. 原子，微粒 
attach  v.系上，贴上，隶属于
attack   vt. 攻击，袭击 
attempt   vt. 试图，尝试 
attend    v. 看护，照料，服侍；出席，参加 
attention   n. 注意，关心 
attitude   n. 态度，看法 
attract    v. 吸引，引起 
attractive   a. 迷人的，有吸引力的 
audience   n. 观众，听众 
author    n. 作者，作家 
August   n. 8月 
aunt  n. 伯母；舅母；婶；姑；姨 
Australia*  n. 澳洲；澳大利亚 
Australian   a. 澳洲的 
authority  n.权威，威信
automatic  a.自动的，机械的
autumn n. 秋天，秋季 
available  a.可利用的，有空的
avenue   n. 大道 
average   a. 平均的；普通的 n. 平均数 
avoid    v. 避免，躲开，逃避 
awake  v. 唤醒醒着的 
award   n. 奖品，奖励 
away   ad. 离开；远离
awful  a.可怕的，糟糕的
awkward  a.笨拙的
baby   n. 婴儿 
bachelor  n.单身汉，文学学士
back    ad. 回（原处）；向后
backache   n. 背痛 
background   n. 背景 
backward(s)   ad. 向后 
bacon   n. 咸猪肉；熏猪肉 
bacterium  n. 细菌 
bad  a. 坏的
badly  ad. 坏，恶劣地 
badminton   n. 羽毛球 
bag   n. 书包；提包；袋子 
baggage   n. 行李 
bake   v. 烤； 烘（面包） 
bakery  n. 面包店 
balance  n. 平衡 
ball  n. 球 n. 舞会
ballet  n. 芭蕾舞 
balloon   n. 气球 
ballpoint = ballpoint pen n. 圆珠笔 
bamboo  n. 竹 
ban   n. 禁令 v. 禁止；取缔 
banana   n. 香蕉 
band  n.带子，乐队
bare  a .赤裸的，无遮蔽的
bandage  n. 绷带 
bang  int. 砰 
bank  n. （河、海、湖的）岸，堤 n. 银行
bargain  n. 廉价货 v. 讨价还价 
bark  v. 狗叫 n. 狗叫声
barrier   n.栅栏，屏障
base   n. 根据地，基地；
baseball   n. 棒球 
basement  n. 地下室 
basic   a. 基本的 
basin   n. 水盆，脸盆 
basis   n.基础
basket  n. 篮子 
basketball  n. 篮球 
bath   n. 洗澡；浴室；澡盆 
bathe  vi. 洗澡；游泳 
bathroom  n. 浴室，盥洗室 
battery  n. 电池 
battle   n. 战斗；战役 
bay   n. 湾； 海湾 
BC   n. 公元前 
be   v. 是（原形），
beach  n. 海滨，海滩 
bear  v. 承受，负担 n. 熊
beard  n. （下巴上的）胡须 
beast  n. 野兽；牲畜 
beat  v. 敲打n. 节拍 
beautiful  a. 美的，美丽的，美观的 
beauty  n. 美丽，美人 
because  conj. 因为 
become  v. 变得；成为 
bed   n. 床 
bedroom  n. 寝室，卧室 
bee   n.. 蜜蜂 
beef   n. 牛肉 
beer   n. 啤酒 
before  prep. 在……以前；
beg   v. 请求，乞求，乞讨 
begin v. 开始，着手 
beginning  n. 开始，开端 
behave  v. 守规矩，行为 
behaviour  n. 行为，举止 
behind  prep. (表示位置)在……后面 
belief  n. 信条，信念 
believe  v. 相信，认为 
bell  n. 钟，铃；钟(铃)声；钟形物 
belong  vi. 属，附属 
belongs  n.属于
below   prep. 在……下面
belt   n. （皮）带 
bench  n. 长凳； 工作台 
bend  vt. 使弯曲 
beneath  prep. 在……下方（面） 
benefit  v.利于，n.利益，好处
beside  prep. 在……旁边；靠近 
besides prep. 除……以外,此外  
betray  v.出卖，背叛
between  prep. 在（两者）之间；在……中间 
beyond  prep. (表示位置) 在……的那边 
bicycle  n. 自行车 
big   a. 大的 
bicycle  n. 自行车
bid  v.出价，报价
bill  n.账单；法案，议案； 
billion  num. 十亿，百亿 
biology  n. 生物（学） 
bird  n. 鸟 
birth  n. 出生； 诞生 
birthday  n. 生日 
birthplace  n. 出生地；故乡 
biscuit  n. 饼干 
bit   n. 一点，一些，少量的 
bite  v. 咬；叮 
bitter  a. 有苦味的；痛苦的，
black  n. 黑色 a. 黑色的 
blackboard  n. 黑板 
blame  n.& v. 责备； 责怪 
blank  n.& a. 空格，空白（处）；空的；
blanket  n. 毛毯，毯子 
bleed  vi. 出血，流血 
bless  vt. 保佑，降福
blind  a. 瞎的 
block  n. 大块；街区；vt. 阻塞；阻挡 
blood  n. 血，血液 
blouse  n. 宽罩衫；短上衣 
blow  v. 吹；刮风；
blue  n. 蓝色 a.蓝色的 a. 悲伤的；沮丧的
board  n. 木板；布告牌v. 上（船、飞机） 
boat   n. 小船，小舟 
body  n. 身体  
boil   v. 沸腾；烧开；煮…… 
bomb   n. 炸弹 v. 轰炸 
Bonus   n.奖金，红利
bone   n. 骨头，骨质 
book   n. 书；本子 v. 预定 
boom   n.繁荣，隆隆声，发出隆隆声
boot   n. 长统靴；靴 
border  n. 边缘；边境，国界 
bored  a.乏味的，无聊的 
boring   a. 乏味的，无聊的 
born   a. 出生
borrow  v. （向别人）借用；借 
boss   n. 领班；老板 
both   a. 两；双 pron. 两者；双方 
bother   v.烦扰，打扰
bottle   n. 瓶子 
bottom   n. 底部；底 
bound   a. 被束缚的；被绑的；有义务的 
boundary  n.边界
bow   v.& n. 鞠躬，弯腰行礼 
bowl   n. 碗 
box   n. 盒子，箱子 
boxing   n. 拳击（运动） 
boy   n. 男孩 
brain   n. 脑（子） 
brake   n. 闸 vi. 刹车 
branch  n. 树枝；分枝；分公司
brave   a. 勇敢的 
bravery   n. 勇气 
bread   n. 面包 
break   n. 间隙 
break  v. 打破；损坏
breakfast  n . 早餐 
Breakthrough  n.突破
breath   n. 气息；呼吸 
breathe   vi. 呼吸 
brick   n. 砖；砖块 
bride   n. 新娘 
bridegroom   n. 新郎
bridge   n. 桥 
brief   a. 简洁的 
bright   a. 明亮的；聪明的 
bring  vt. 拿来，带来 
Britain  n. 英国；不列颠
British   a. 英国的；大不列颠的；
broad   a. 宽的，宽大的 
broadcast  n. 广播节目 
broadcast（broadcast, broadcast)vt. 广播 
broken  a. 弄坏了的 
broom   n. 扫帚 
brother   n. 兄；弟
brotherhood   n. 兄弟般的关系 
brown  n. 褐色，棕色 a. 棕色的 
brunch   n. 早午饭（晚早饭） 
brush   v. 刷；擦 n. 刷子 
bucket   n. 铲斗；桶 
budget  n.预算，做预算
bunch  n.串，束
burden   n.担子，负担
build  v. 建筑；造 
building  n. 建筑物；房屋；大楼 
burial   n. 埋葬 
burn ( burnt, burnt) v. 燃，n. 烧伤；晒伤 
burst   v. 突然发生； 
bury   vt. 埋；葬 
bus   n. 公共汽车
bush   n. 灌木丛，矮树丛 
business  n. 职业；职责；生意，
businessman  n. 商人（男）；男企业家
businesswoman  n. 商人（女）；女企业家
busy   a. 忙（碌）的
but conj. 但是，可是 prep. 除了
butcher  n. vt. 肉店；屠夫 屠宰 
butter  n. 黄油，奶油 
butterfly  n. 蝴蝶 
button  n. 纽扣；按钮 v. 纽扣 
buy vt. 买 
by  prep. 靠近，在……旁；
bye  int. 再见 
cab  n. （美）出租车 
cabbage  n. 卷心菜，洋白菜 
cafe  n. 咖啡馆； 餐馆 
cafeteria  n. 自助餐厅
cage   n. 笼；鸟笼 
cake  n. 蛋糕，糕点；饼 
calculate  v.计算
call  n. 喊，叫；电话，通话 v. 称呼；
calm  a. 镇静的； 沉着的 v. 镇静 
camel  n. 骆驼 
camera  n. 照相机；摄像机
camp  n. （夏令）营 vi. 野营；  
campaign  n.战役，竞选活动
can 可能；能够；可以 不能 n.（美）罐头；
Canada  n. 加拿大 
Canadian  a. 加拿大的；n. 加拿大人 
canal  n. 运河；水道 
cancel  vt. 取消 
cancer  n. 癌 
candidate  n.候选人
candle  n. 蜡烛 
candy  n. 糖果 
canteen  n. 餐厅；食堂 
cap  n. （无檐的或仅在前面有檐的）帽子；
capital  n. 首都，省会；大写；资本 
captain  n. 上校；船长，舰长；队长 
car  n. 汽车
carbon  n. 碳 
card  n. 卡片；名片；纸牌
care  n. 照料，保护；小心v. 关心 
careful  a. 小心的，仔细的，谨慎的 
careless  a. 粗心的，漫不经心的 
carpet  n. 地毯 
carriage  n. 四轮马车；（火车）客车厢 
carrier  n. 搬运者；媒介；
carrot  n. 胡萝卜 
carry  vt. 拿，搬，带，提，抬，
cartoon  n. 动画片，卡通；漫画 
carve  vt.刻；雕刻
case  n. 情况；病例；案件；真相 n. 箱；盒；容器 
cash  n. 现金，现钞 v. 兑现 
cast  v. 扔，抛，撒 
castle  n. 城堡 
casual  a.偶然的，不经意的
catastrophe  n.大灾难，大祸
cat n. 猫 
catch v. 赶上；染上（疾病） 
category  n.种类
cathedral  n. 大教堂（天主教） 
cattle  n. 牛（总称），家畜 
cause  n. 原因， vt. 引起，使发生 
caution   n.小心
cautious   a.小心的，谨慎的
cave  n. 洞，穴； 
ceiling   n. 天花板，顶棚 
celebrate  v. 庆祝 
celebration  n. 庆祝；庆祝会 
cell  n.单人小室；［生物］ 细胞
cent  n. 美分
centigrade  a. 摄氏的 
centimetre  n. 公分，厘米 
central  a. 中心的，中央的；主要的 
centre  n. 中心，中央 
century  n. 世纪，百年 
ceremony  n.典礼，仪式
certain  a. 确定的，无疑的；一定会…… 
certainly  ad. 当然，是的；一定，无疑 
certificate   n. 证明，证明书 
chain  n. 链； 链条 
chair  n. 椅子 
chairman  n. 主席，会长；议长 
chairwoman  n. 女主席, 女会长；女议长 
chalk  n. 粉笔
challenge  n.挑战(性)
challenging  a.具有挑战性的
champion  n. 冠军，优胜者 
chance  n. 机会，可能性 
changeable  a.易变的，变化无常的
change  n. 零钱；找头v. 改变；兑换
channel  n.频道；通道；水渠 
chaos  n.混乱
chapter    n.章
character  n. （汉）字，字体；品格 
characteristic  a.特有的，典型的
charge   v. 收费；索价；充电 n. 费用
chart  n. 图表；航海图 
chat n. & vi. 聊天，闲谈 
cheap  a. 便宜的，贱 
cheat   n. & v. 骗取，哄骗；作弊 
check  n. 检查；批改 vt. 校对，核对
cheek  n. 面颊，脸蛋 
cheer n. & vi. 欢呼； 喝彩
cheer up   phr. 振作起来！提起精神！
cheerful  a.兴高采烈的，快活的
cheers  n.干杯
cheese  n. 奶酪 
chef   n.厨师
chemical  a. 化学的 n. 化学品 
chemist  n. 药剂师；化学家 
chemistry  n. 化学 
cheque  n. 支票 
chess  n. 棋 
chest  n. 箱子；盒子；胸部 
chew  vt. 咀嚼 
chick  n. 小鸡 
chicken  n. 鸡；鸡肉 
chief  a. 主要的； 首要的 n. 领导，头 
child  n. 孩子，儿童 
childhood  n. 幼年时代，童年 
chimney  n. 烟囱，烟筒 
China  n. 中国 
Chinese  a. 中国的；中国人的，中文 
chocolate  n. 巧克力 
choice  n. 选择；抉择 
choke  n. & v. 窒息 
choose  vt. 选择 
chopsticks  n. 筷子 
christian  n. 基督教徒和天主教徒的总称 
Christmas  n. 圣诞节 
church  n. 教堂；教会 
cigar  n. 雪茄烟 
cigarette  n. 纸烟，香烟 
cinema  n. 电影院；电影 
circle  n. vt. 圆圈 将……圈起来 
circus  n. 马戏团 
citizen  n. 公民；居民 
city  n. 市，城市，都市 
civil  a. 国内的；；民用的 
civilization  n.文明
clap   vi. 拍手； 鼓掌 
clarify  n.清楚，透明
class  n.（学校里的）班；课 
classic  a. 传统的；古典的 
classify  v.分类
classmate  n. 同班同学 
classroom  n. 教室 
clean  vt. 弄干净， a. 清洁的
cleaner  n. 清洁工；清洁剂 
clear  a. 清晰的；清楚的 
clerk  n. 书记员；办事员；职员 
clever  a. 聪明的，伶俐的 
click  v. 点击（计算机用语） 
climate  n. 气候 
climb  v. 爬，攀登 
clinic  n. 诊所 
clock  n. 钟
clone  n. 克隆
close  a. 亲密的；靠近 ad. 靠近 vt. 关，关闭 
cloth  n. 布 
clothes  n. 衣服；各种衣物 
clothing  n. (总称) 衣服 
cloud  n. 云；云状物；阴影 
cloudy  a. 多云的，阴天的 
club  n. 俱乐部；纸牌中的梅花 
coach   n. 教练；马车；长途车 
coal  n. 煤；煤块 
coast  n. 海岸；海滨 
coat  n. 外套； 
cock  n. 公鸡 
coffee  n. 咖啡 
coin  n. 硬币 
coincidence  n.巧合
coke  n. 可口可乐 
cold  a. 冷的，寒的 n感冒
collar  n. 衣领； 硬领 
colleague  n. 同事 
collect  vt. 收集，搜集 
collection  n. 收藏品，收集物 
college  n. 学院；专科学校 
collision  n.碰撞，冲突
colour  n. 颜色 vt. 给……着色
comb  n. 梳子 v. 梳 
combine  vt. 使联合；使结合 
come  vi. 来，来到 
comedy  n. 喜剧 
comfort  n. 安慰； 慰问 
comfortable  a. 舒服的 
command  n. & v. 命令 
comment  n. 评论 
common  a. 普通的，共有的 
communicate  v. 交际；传达 
communication  n. 交际；交往；通讯 
communism  n. 共产主义 
companion  n. 同伴；同事 
company  n. 公司 
compare  vt. 比较，对照 
compensate  v.偿还，补偿
compete  vi. 比赛，竞赛 
competence  n.能力
competition  n. 比赛，竞赛 
complete  a. 完成的 vt. 完成，结束 
complex  a.复杂的
composition  n. 作文；作曲 
comprehension  n.理解，理解力
compromise  n.妥协
compulsory  a.必须做的，必修的
concentrate  v.集中，专心
concept  n. 观念，概念
concern  v.涉及，关心
computer  n. 电子计算机 
concert  n. 音乐会；演奏会 
conclude  v. 完成，结束 
conclusion  n. 结论；结束 
concrete   a.具体的
condition  n. 条件，状况 
conduct  vt. 引导，带领 
conductor  n. 售票员，列车员；乐队指挥 
conference   n. （正式的）会议
confident  a.有信心的
conflict  n.矛盾，冲突
congratulate  vt. 祝贺 
confuse   v.搞乱，使。。糊涂
congratulation  n. 祝贺，庆贺 
connect  vt. 连接，把……联系起来 
connection  n. 连接物；接触，联系 
conscience  n.良心，
consequence   n.结果，后果
conservation  n. 保存；保护
conservative   a. n. 保守，守旧的；保守主义 
consider  vt. 考虑 
considerate  a. 体贴的 
consideration  n. 考虑；关心 
consist  v. 包含，组成，构成
consistent  a.一致的，调和的
constitution   n.章程，宪法
constant  a. 经常的，不断的 
construct  v. 构筑；建造，建设
construction  n.建设；建筑物 
consult   v.参考，查阅
consume  v.消耗，消费
contain  v. 包含；包括；能容纳 
container  n. 容器 
contemporary  a.当代的，同时代的
content  a. 甘愿的，满意的 n. 内容
continent  n. 大陆，大洲；陆地 
continue  vi. 继续 
contrary  n. a. 相反 相反的 
contribute   v.贡献 
control  vt.& n. 控制 
controversial   a.有争论的
convenience  n. 便利 
convenient  a. 便利的，方便的 
conversation  n. 谈话，交谈 
convey  v.搬运，传达
convince  v.使。。 相信
cook  n. 炊事员，厨师 v. 烹调，
cooker  n. 炊具(锅、炉灶、烤炉等) 
cookie  n. 小甜饼 
cool  a. 凉的，凉爽的；酷 
cooperate  v. 合作，协作
copy  n. 抄本，副本；v. 抄写；复印
corn  n. 玉米，谷物 
corner  n. 角；角落；拐角 
correct  v. 改正；纠正 a. 正确的 
cost  n. 价格 
cost  v. 值（多少钱）；花费 
cottage  n. (郊外的)小屋，村舍；别墅 
cotton  n. 棉花 a. 棉花的 
cough  n.& vi. 咳嗽 
count  vt. 数，点数 
counter  n. 柜台，结账处 
country  n. 国家；农村，乡下 
countryside  n. 乡下，农村 
couple  n. 夫妇，一对 
courage  n. 勇气； 胆略 
course  n. 过程；经过；课程 
court  n. 法庭；法院 
courtyard  n. 庭院，院子 
cousin  n. 堂兄弟，堂（表）姐妹 
cover  n. 盖子；罩 v. 覆盖，遮盖；
cow  n. 母牛，奶牛 
crash   n./v. 碰撞，坠落
crazy  a. 疯狂的 
cream  n. 奶油，乳脂 
create  vt. 创造； 造成 
credit  n. 信用；信赖；信誉 
crime  n. （法律上的）罪，犯罪 
criminal  n. 罪犯 
criterion   n.标准，规范
crop  n. 庄稼；收成 
cross  a. 脾气不好的，易怒的 n. 十字形的东西 vt.穿过 
crossing  n. 十字路口，人行横道 
crowd  n. 人群 vt. 拥挤，群聚 
crowded  a. 拥挤的 
cruel  a. 残忍的，残酷的； 
cry  n. 叫喊；哭声 v. 喊叫；哭 
culture  n. 文化 
cup  n. 茶杯 
cupboard  n. 碗柜；橱柜 
cure  n. & vt. 治疗；医好 
curious  a. 好奇的；奇异的 
currency  n. 货币；现金 
curtain  n. 窗帘 
cushion  n. 垫子 
custom  n. 习惯，习俗，风俗习惯 
customer  n. （商店等的）顾客，主顾 
customs  n. 海关，关税 
cut  v. n. 切，剪，削，割 伤口 
cycle  vi. 骑自行车 
cyclist  n. 骑自行车的人
dad = daddy n. （口语）爸爸，爹爹 
daily  a. 每日的；日常的  
dam  n. 水坝，堰堤 
damage  n.& vt. 毁坏，损害 
damp  a. & n. 潮湿（的） 
dance  n.& vi. 跳舞 
danger  n. 危险 
dangerous  a. 危险的 
dare v.& aux.敢，敢于 
dark  n. 黑暗；a. 黑暗的； 
darkness  n. 黑暗，阴暗 
dash  v. & n. 快跑，冲刺，短跑 
data  n. 资料，数据 
date  n. 日期；约会
daughter  n. 女儿 
dawn  n. 黎明，拂晓 
day  n. （一）天，（一）日；白天 
daylight  n. 日光，白昼； 黎明 
dead  a. 死的；无生命的 
deadline  n.最后期限，截止日期
deaf  a. 聋的 
deal  n. 量，数额；交易 
dear  int. （表示惊愕等）哎呀！a. 亲爱的；贵的
death  n. 死
debaten. & v.讨论，辩论
decade  n.十年
debt  n. 债务； 欠款 
December   n. 12月 
decide   v. 决定；下决心 
decision   n. 决定；决心 
declare  vt. 声明；断言
decline  v.下倾，下降
decorate  vt.装饰……，修饰……
decoration  n.装饰，修饰
decrease  v. 减少
deed  n. 行为；事迹 
deep  a. 深 ad. 深；深厚 
defeat  vt. 击败；战胜 
defence  n. & v. 防御； 
defend  vt. 防守；保卫 
degree  n. 程度；度数；学位 
delay  v.& n. 拖延，延误，
delicate   a. 精巧的，精致的
delicious  a. 美味的，可口的 
delight  n. 快乐； 乐事 
delighted  a. 高兴的，快乐的 
deliver  vt. 投递（信件，邮包等） 
demand  vt. 要求 
dentist  n. 牙科医生 
department n. 部门；系 
departure  n. 离开，启程 
depend  vi. 依靠，依赖，
depth  n. 深，深度 
describe  vt. 描写，叙述 
description  n. 描述，描写 
desert  n. 沙漠 
desert vt. 舍弃； 遗弃 
deserve  v. 应受的，值得的
design  n.& vt. n. 设计， 图案 
desire  vt. & n. 要求；期望 
desk  n. 书桌，写字台 
desperate  a.令人绝望的
destination  a. 目的地
destiny  n.命运
dessert  n. 甜点 
destroy  vt. 破坏，毁坏 
detective  n. 侦探 
determination  n. 决心 
determine  vt. 决定；决心 
develop  v. 发展；开发vt. 冲洗（照片） 
development  n. 发展，发达，开发 
devote  vt. 把……奉献； 
devotion  n. 奉献，奉献精神 
diagram  n. 图表，图样  
diagram  n. 图表
dialogue  n. 对话 
diamond  n. 钻石，金刚石
diary  n. 日记；日记簿 
dictation  n. 听写 
dictionary  n. 词典，字典 
die  v. 死 
diet  n. 饮食 
differ  v. 相异，有区别 
difference  n. 不同 
different  a. 不同的，有差异的 
difficult  a. 难的；艰难的
difficulty  n. 困难，费力 
dig  v. 挖（洞、沟等）；掘 
digest  v. 消化； 领会 
digital  a.数字的，数码的 
dignity   n. 尊严，高贵
dining room  n.食堂，饭厅 
dinner  n. 正餐，宴会  
diploma  n. 毕业文凭；学位证书 
direct  a. vt. 直接的；指挥； 
direction  n. 方向；方位 
director  n. 处长，主任；导演 
directory  n. 姓名地址录 
dirt  n. 污物；脏物 
dirty  a. 脏的 
disability  n. 残疾；无能 
disabled  a. 残废的，残疾的 
disadvantage  n. 不利条件；弱点 
disagree  vi. 持不同意见 
disagreement  n. 意见不一致
disappear  vi. 消失 
disappoint  vt. 使失望 
disaster  n. 灾难；祸患 
discount  n. 折扣 
discourage  vt. （使）气馁； 
discover  vt. 发现 
discovery  n. 发现 
discrimination  n. 歧视 
discuss  vt. 讨论，议论 
discussion  n. 讨论，辩论 
disease  n. 病，疾病
disgusting  a. 厌恶的，
dish  n. 盘，碟；盘装菜
dislike  vt. 不喜爱；厌恶 
dismiss  vt. 让……离开；遣散； 
distance  n. 距离 
distant  a. 远的，遥远的 
distinction   n. 不同，差别，
distinguish  v. 区别
distribute  v.f分布
district  n. 区；地区；区域 
disturb  vt. 扰乱；打扰 
dive  vi. 跳水 
diverse  a. 不同的，变化的
divide  vt. 分，划分 
division  n. （算术用语）除 
divorce  v. 离婚
do   v. 做，干
doctor  n. 医生，大夫；博士 
document  n. 文件；文献 
dog  n. 狗 
doll  n. 玩具娃娃
dollar  n. 美元
door  n. 门 
dormitory  n. 学生宿舍（缩写式dorm）  
double  a. 两倍的；双的 
doubt  n.& v. 怀疑，疑惑 
down  prep. 沿着，沿……而下  
download  n.& v. 下载 
downstairs  ad. 在楼下；到楼下 
downtown  n. 中心区、闹市区 
dozen  n. 十二个；几十，许多 
Doctor n. 医生，博士 
drag  v. 拖；拽 
draw  v. 绘画； 
drawback   n. 缺点，障碍
drawer  n. 抽屉 
drawing  n. 图画，绘画 
dream (dreamt, dreamt ）梦，梦想 
dress  n. 连衣裙 v. 穿衣；穿着 
drier =dryer  n. 烘干机；吹风机 
drill  n. 钻头vt. 钻(孔)，重复训练 
drink  n. 饮料；喝酒 
drink v. 喝，饮 
drive v. 驾驶，驱赶 
driver  n. 司机，驾驶员  
drop  n. 滴 v. 掉下，落下；投递；放弃 
drown  vi. 溺死；淹没 
drug  n. 药，药物；毒品 
drum  n. 鼓 
drunk  a. 醉的 
dry  v. 使……干；a. 干的；干燥的 
duck  n. 鸭子 
due  a. 预期的；约定的 
dull  a. 阴暗的；单调无味 
dumpling  n. 饺子 
during  prep. 在……期间；在……过程中 
dust  n. 灰尘，尘土 
dustbin  n. 垃圾箱 
dusty  a. 尘土般的，尘土多的 
duty  n. 责任，义务
dynamic   a.动力的，动力学的
dynasty  n.朝代
each a.& pron. 每人，每个，每件 
eager  a. 渴望的，热切的 
eagle  n. 鹰 
ear  n. 耳朵；耳状物；听力，听觉 
